,prediction
0,22.17123288889904
1,35.557032112448454
2,20.894397097019198
3,20.1960988778498
4,20.02689173765644
5,21.21700868358025
6,30.827641233284428
7,28.814574124166597
8,24.626251387689866
9,12.51737207298963
10,21.668093954196358
11,26.01419263141411
12,20.34518115989972
13,23.26633659882277
14,22.114376694896567
15,13.075543614037613
16,17.137684968040297
17,21.979005462478085
18,27.37081989968537
19,28.019167875250194
20,24.414481766502952
21,34.360018214516536
22,23.942748917671253
23,26.831033209385687
24,33.13236879586302
25,13.131046180576298
26,20.661622251889973
27,17.395372498221413
28,24.905995524685643
29,25.936871335538353
30,25.430317129480446
31,24.819568635461493
32,17.669496571002483
33,13.139044129996023
34,22.14029635190486
35,35.50302904306458
36,16.230875150512414
37,19.897171745822348
38,23.06369596889888
39,20.007358116675626
40,32.84777096089975
41,25.727534700806018
42,30.950156442829062
43,23.70226828526384
44,21.412324936558512
45,13.110493159161123
46,33.156802868244675
47,20.24535072819847
48,-5.210919305281848
49,27.529620524695382
50,25.098589096943357
51,13.96531507974791
52,14.090191675579465
53,27.3860461332466
54,14.217716391992322
55,25.464578470160497
56,17.74201964946633
57,19.337714166537292
58,35.6702204738055
59,26.05415131297763
60,32.57600176230525
61,24.56533259338725
62,31.753666108347243
63,28.13798768978578
64,31.058954764281275
65,24.533188471480443
66,23.371375528044375
67,30.554845437977157
68,32.282763353454385
69,20.873958202867946
70,24.734845824845916
71,19.6112544654231
72,36.94909625405684
73,41.490063893650195
74,23.0520405018937
75,18.454662350800504
76,15.931001820047172
77,36.026833997740084
78,14.712373935607715
79,5.0894613629372145
80,10.76502268329547
81,30.20968135383623
82,2.202162498279975
83,26.259174928376
84,30.30408703089138
85,22.447459190198867
86,-0.433391998250265
87,13.180027871136545
88,33.63212884458476
89,14.988058347013325
90,17.083335068548607
91,42.66871031984168
92,23.82307953674222
93,22.527835908570623
94,28.809585720292045
95,20.593456617369124
96,12.732716514684078
97,16.768904645838063
98,26.397416011528673
99,24.494221830640484
100,24.9353708399259
101,43.81773618043352
